2025-12-01 00:26:56, James, 10.1.1.9: LOGON_FAILED
2025-12-01 00:37:05, Dean, 10.1.1.5: LOGON_FAILED
2025-12-01 00:48:27, James, 10.1.1.9: LOGON_FAILED
2025-12-01 01:06:05, Doe, 10.1.1.7: LOGON
2025-12-01 01:10:10, Doe, 10.1.1.7: LOGON_FAILED
2025-12-01 01:32:40, James, 10.1.1.9: LOGON
2025-12-01 01:41:19, Alice, 10.1.1.2: FILE_ACCESS
2025-12-01 01:57:45, James, 10.1.1.9: LOGOFF
2025-12-01 02:22:44, Alice, 10.1.1.2: FILE_ACCESS
2025-12-01 02:42:37, James, 10.1.1.9: LOGOFF
2025-12-01 02:44:04, Alice, 10.1.1.2: FILE_ACCESS
2025-12-01 02:51:47, Alice, 10.1.1.2: LOGON_FAILED
2025-12-01 02:52:31, Alice, 10.1.1.2: LOGON_FAILED
2025-12-01 03:02:16, James, 10.1.1.9: FILE_ACCESS
2025-12-01 03:12:43, Doe, 10.1.1.7: LOGON_FAILED
2025-12-01 03:30:02, Alice, 10.1.1.2: LOGON
2025-12-01 03:43:39, Doe, 10.1.1.7: LOGON
2025-12-01 03:49:03, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 04:29:08, Alice, 10.1.1.2: LOGON
2025-12-01 04:30:00, Alice, 10.1.1.2: LOGON_FAILED
2025-12-01 04:35:29, Alice, 10.1.1.2: LOGON
2025-12-01 04:37:05, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 04:44:03, Doe, 10.1.1.7: LOGON
2025-12-01 04:57:05, Dean, 10.1.1.5: LOGON_FAILED
2025-12-01 05:06:16, James, 10.1.1.9: LOGOFF
2025-12-01 05:20:05, Doe, 10.1.1.7: FILE_ACCESS
2025-12-01 05:33:15, Doe, 10.1.1.7: LOGOFF
2025-12-01 05:34:37, Dean, 10.1.1.5: LOGOFF
2025-12-01 05:43:32, Dean, 10.1.1.5: LOGON
2025-12-01 06:01:58, James, 10.1.1.9: LOGON
